CODIGO;TITULO;
123705;Diretor de pesquisa e desenvolvimento (p&d);"INSERT INTO states (code, title) VALUES ('123705','Diretor de pesquisa e desenvolvimento (p&d)');"
123805;Diretor de manutenção;"INSERT INTO states (code, title) VALUES ('123805','Diretor de manutenção');"
131105;Diretor de serviços culturais;"INSERT INTO states (code, title) VALUES ('131105','Diretor de serviços culturais');"
131120;Gerente de serviços sociais;"INSERT INTO states (code, title) VALUES ('131120','Gerente de serviços sociais');"
131115;Gerente de serviços culturais;"INSERT INTO states (code, title) VALUES ('131115','Gerente de serviços culturais');"
131110;Diretor de serviços sociais;"INSERT INTO states (code, title) VALUES ('131110','Diretor de serviços sociais');"
131205;Diretor de serviços de saúde;"INSERT INTO states (code, title) VALUES ('131205','Diretor de serviços de saúde');"
131210;Gerente de serviços de saúde;"INSERT INTO states (code, title) VALUES ('131210','Gerente de serviços de saúde');"
131215;Tecnólogo em gestão hospitalar;"INSERT INTO states (code, title) VALUES ('131215','Tecnólogo em gestão hospitalar');"
131225;Sanitarista;"INSERT INTO states (code, title) VALUES ('131225','Sanitarista');"
131220;Gerontólogo;"INSERT INTO states (code, title) VALUES ('131220','Gerontólogo');"
131320;Gerente de serviços educacionais da área pública;"INSERT INTO states (code, title) VALUES ('131320','Gerente de serviços educacionais da área pública');"
131310;Diretor de instituição educacional pública;"INSERT INTO states (code, title) VALUES ('131310','Diretor de instituição educacional pública');"
131315;Gerente de instituição educacional da área privada;"INSERT INTO states (code, title) VALUES ('131315','Gerente de instituição educacional da área privada');"
131305;Diretor de instituição educacional da área privada;"INSERT INTO states (code, title) VALUES ('131305','Diretor de instituição educacional da área privada');"
141105;Gerente de produção e operações  aqüícolas;"INSERT INTO states (code, title) VALUES ('141105','Gerente de produção e operações  aqüícolas');"
141120;Gerente de produção e operações pesqueiras;"INSERT INTO states (code, title) VALUES ('141120','Gerente de produção e operações pesqueiras');"
141115;Gerente de produção e operações agropecuárias;"INSERT INTO states (code, title) VALUES ('141115','Gerente de produção e operações agropecuárias');"
141110;Gerente de produção e operações  florestais;"INSERT INTO states (code, title) VALUES ('141110','Gerente de produção e operações  florestais');"
141205;Gerente de produção e operações;"INSERT INTO states (code, title) VALUES ('141205','Gerente de produção e operações');"
141305;Gerente de produção e operações da construção civil e obras públicas;"INSERT INTO states (code, title) VALUES ('141305','Gerente de produção e operações da construção civil e obras públicas');"
141405;Comerciante atacadista;"INSERT INTO states (code, title) VALUES ('141405','Comerciante atacadista');"
